[2026-09-06 09:22:01.715] GET / -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:22:06.155] GET /openapi/v1.json -> Status: 200 (400ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:22:58.628] POST /api/Auth/register -> Status: 200 (2735ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:23:13.024] GET /api/Auth/confirm-email?userId=f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5&token=Q2ZESjhMYzFPOHpjN01ORHJOWnRRYjI3T2pPN2IrTjh6bmszVnF3MFRmKzE2T3YxdzRTMVg3QktvS3BVUWw5WlpMMW1XdUkzT0l4czdTeGVERWtKa2VKUkJtQzdud1pSSzdqSVNwWXg5S1JDRWJhRTJrOEx1ZVJ0NTVRTFh4Y1ZRTU01alVlSHprb0NrSEFPM0pCVndtMWhDZXdZVGJIaTdGcExYWm4wL0dhc3U3WTJiQmdLbytwa3lmV2VIWTRTUUVKcVlBYnJjYXhMOHdVeDNjUG43b1d4OFkvZGFsengrVXVKekJkVktNWm51a2ZZRE9FNXZpUVkwR3kveE9FTzlYSThidz09 -> Status: 200 (144ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:23:13.318] GET /favicon.ico -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:23:45.094] POST /api/Auth/login -> Status: 401 (66ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:23:59.791] POST /api/Auth/login -> Status: 200 (161ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:24:16.945] GET /api/Post/all -> Status: 200 (146ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-06 09:25:00.179] POST /api/Comment -> Status: 200 (99ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:25:08.188] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (123ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:25:21.115] DELETE /api/Comment/3a8f819e-d268-4093-819d-bd64e884b2ff -> Status: 403 (62ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:25:45.759] POST /api/Comment -> Status: 200 (21ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:25:48.128] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (33ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:25:58.901] POST /api/Comment/dcb135f1-1671-442a-a46b-23fce3eb3f11/like -> Status: 200 (88ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-06 09:26:17.731] GET /User?id=2e59e43c-8f7a-4127-b775-fd1bdbfff042 -> Status: 200 (132ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
